server_name,server_id,latency,jitter,packet_loss,download,upload,download_bytes,upload_bytes,share_url
"Comcast - Houston, TX","1763","88.944","14.042","N/A","797861","280804","10498982","3891016","https://www.speedtest.net/result/c/f0c5f436-1aa3-47c3-96d7-0271e11ae09f"
"Comcast - Houston, TX","1763","98.98","8.798","N/A","1345008","225294","14696370","2731130","https://www.speedtest.net/result/c/d7ea21b0-83e4-4643-97fe-1a2bea22e670"
"Tachus Fiber Internet - Kingwood, TX","31015","56.954","4.265","0","65337","64413","724190","797844","https://www.speedtest.net/result/c/e01e554e-6717-4ac5-8fe6-2ce79a3a6050"
"En-Touch Systems Inc. - Houston, TX","11772","51.869","12.768","0","1985336","261073","19540040","3783922","https://www.speedtest.net/result/c/3f78b6f8-56d3-4892-b76b-266e3aa437bd"
"Tachus Fiber Internet - Spring, TX","7306","158.987","0.257","0","2445036","242770","31393150","3032980","https://www.speedtest.net/result/c/c9beeb1e-7aaf-4cd7-ae9c-9044553cc39e"
"Comcast - Houston, TX","1763","67.969","6.997","N/A","2037769","241602","22670856","1632930","https://www.speedtest.net/result/c/4cfa5c71-1a39-4585-8a6f-936a5ac349a3"
"Comcast - Houston, TX","1763","57.014","11.992","N/A","1567544","321690","21788936","4262858","https://www.speedtest.net/result/c/1918fe77-793f-4abd-a875-d530071ec8fb"
"fdcservers.net - Houston, TX","26652","50.007","8.977","N/A","64139","62707","728171","824044","https://www.speedtest.net/result/c/4f833e5d-f971-4e41-9a20-7efd0b6d5549"
"fdcservers.net - Houston, TX","26652","69.831","15.803","N/A","64054","62462","657852","924638","https://www.speedtest.net/result/c/f3c30f6a-97e7-4750-80a8-2c174edcf26a"
"fdcservers.net - Houston, TX","26652","64.016","36.533","N/A","65164","65857","746106","560390","https://www.speedtest.net/result/c/030fb6f6-869c-4f8e-a2e3-18b39811d6b7"
"fdcservers.net - Houston, TX","26652","40.98","5.976","N/A","62320","62326","811946","858038","https://www.speedtest.net/result/c/3019fa8d-a02f-47ea-bb09-a1a7fd4d7200"
"CenturyLink - Houston, TX","10151","90.951","22.521","0","1746086","253675","23595494","2832370","https://www.speedtest.net/result/c/746acb8f-97cc-452d-b859-c2a06351f434"
"En-Touch Systems Inc. - Houston, TX","11772","45.961","5.767","0","2059196","328853","22710818","4417118","https://www.speedtest.net/result/c/7dbd706f-332d-4a26-abe9-9ecda9ca13b0"
"fdcservers.net - Houston, TX","26652","38.993","8.24","N/A","62956","63824","761678","831552","https://www.speedtest.net/result/c/e9d3eb68-2deb-472e-b62b-8741dfd9d194"
"fdcservers.net - Houston, TX","26652","48.947","19.824","N/A","63265","62868","800216","931528","https://www.speedtest.net/result/c/b7808728-ec20-49af-b705-aacbd6b9a498"
"Tachus Fiber Internet - Kingwood, TX","31015","75.971","7.007","0","62260","63936","653300","557390","https://www.speedtest.net/result/c/3da6723d-a0a8-4919-985f-ca875cf25c5e"
"ICTX WaveMedia - Houston, TX","7340","97.94","34.741","0","2132180","212470","26431418","893410","https://www.speedtest.net/result/c/8ba79640-58d7-4c7d-9e03-33973462be37"
"fdcservers.net - Houston, TX","26652","46.982","7.266","N/A","62430","60400","649372","634878","https://www.speedtest.net/result/c/0ef6d4ed-7baa-40d8-90d5-314b1bf076fb"
"fdcservers.net - Houston, TX","26652","47.953","8.556","N/A","64309","233046","700276","3235088","https://www.speedtest.net/result/c/f4c01c6e-7b95-477b-a130-865e5cc9764a"
"Comcast - Houston, TX","1763","75.024","14.621","N/A","2100653","228473","20194590","3239612","https://www.speedtest.net/result/c/131f1170-0641-440a-aeff-0edf9543bd3f"
"Tachus Fiber Internet - Kingwood, TX","31015","47.957","7.256","0","62369","65659","647740","553220","https://www.speedtest.net/result/c/c7ee6686-becc-4a43-8734-540ab8b06f68"
"PS Lightwave, Inc - Houston, TX","25206","48.97","9.031","0","63913","63272","806794","896698","https://www.speedtest.net/result/c/22db537f-4c40-45c7-825e-dfc80ad1a20a"
"PS Lightwave, Inc - Houston, TX","25206","40.95","9.064","0","63751","62832","723480","910478","https://www.speedtest.net/result/c/be3aaebc-c9ff-4987-8d07-6ef7fcaa1d03"
"PS Lightwave, Inc - Houston, TX","25206","56.13","9.2","0","61104","62797","707667","790972","https://www.speedtest.net/result/c/f1959a19-6441-4aef-8ab7-b8bbf0e0075b"
"Tachus Fiber Internet - Kingwood, TX","31015","90.885","8.888","0","64314","70425","789520","956320","https://www.speedtest.net/result/c/97cfd4a2-7676-49fb-857e-ab9912f81e52"
"Comcast - Houston, TX","1763","83.986","12.478","N/A","2244341","260395","22943700","2809286","https://www.speedtest.net/result/c/b898306d-cf8b-4740-ad78-0b98e48d7053"
"fdcservers.net - Houston, TX","26652","43","12.434","N/A","63287","63447","729548","843336","https://www.speedtest.net/result/c/560cffeb-0ed8-469e-ac69-463edb631242"
"Tachus Fiber Internet - Kingwood, TX","31015","43.986","8.988","0","58757","69682","701950","939640","https://www.speedtest.net/result/c/624592a3-f160-4206-8b8c-d21560087696"
"fdcservers.net - Houston, TX","26652","92.076","36.992","N/A","68709","63169","865280","722072","https://www.speedtest.net/result/c/c25064f6-d11d-4461-be76-8d6b119dc16b"
"fdcservers.net - Houston, TX","26652","68.052","4.114","N/A","63531","63910","840466","823588","https://www.speedtest.net/result/c/da575ea3-c35f-453f-873e-71f13bb70e02"
"Comcast - Houston, TX","1763","43.115","6.441","N/A","2327148","214646","17889196","1594346","https://www.speedtest.net/result/c/b6a10f43-b30a-4642-91fa-16f544eb9dec"
"PS Lightwave, Inc - Houston, TX","25206","52.842","14.049","0","62884","62801","691762","830934","https://www.speedtest.net/result/c/d8564824-ae83-4969-addc-21d8f94c86c6"
"PS Lightwave, Inc - Houston, TX","25206","59.97","13.801","0","62040","62369","717676","810264","https://www.speedtest.net/result/c/a6d24dd3-27e3-455f-b267-a87685c4e622"
"Tachus Fiber Internet - Kingwood, TX","31015","159.855","0.102","0","64014","68900","689440","882650",""
